,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
5267,2597746,Azul Seguros,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento em geral,A cliente Diva gostou do atendimento.,Qualidade do atendimento,Promotor
5268,2714766,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com José Marcos, ele informou  que gostou da  atenção e porque não foi demorado",Qualidade do atendimento,Promotor
5269,2598249,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o atendimento muito bom. ,Qualidade do atendimento,Promotor
5270,2598474,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que o atendimento foi bom. ,Qualidade do atendimento,Promotor
5271,2599046,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que o atendimento seu tudo certo.,Qualidade do atendimento,Promotor
5272,2599053,Seguros Sura,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,O responsável Josenildo achou atendimento satisfatório.,Qualidade do atendimento,Promotor
5273,2600359,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta rapidez, facilidade, praticidade e tranquilidade para abertura do atendimento. ",Qualidade do atendimento,Promotor
5274,2600715,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que nao tem nada a reclamar. ,Qualidade do atendimento,Promotor
5275,2601126,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,O cliente Artur gostou da agilidade no processo.,Qualidade do atendimento,Promotor
5276,2601517,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Atendimento rápido.  ,Qualidade do atendimento,Promotor
5277,2711049,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Gabriel, informou que gostou da rapidez na resolução da solicitação",Qualidade do atendimento,Promotor
5280,2602591,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo com a abertura do atendimento,Qualidade do atendimento,Promotor
5281,2603597,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta o pronto atendimento, e foi atendido em tempo hábil. ",Qualidade do atendimento,Promotor
5283,2603972,ALD Automotive,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento – telefonia e agendamento,"Prontidão e pontualidade.
",Liberação,Promotor
5285,2605088,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,10,Qualidade do atendimento em geral,Atendimento  Excelente ,Qualidade do atendimento,Promotor
5286,2605108,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Otimo atendimento,Liberação,Promotor
5287,2605397,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Gghhhhj,Qualidade do atendimento,Promotor
5288,2707287,Bradesco Seguros,Funilaria Coluna Dianteira Direita,Carglass,10,Qualidade do atendimento em geral,mão de obra exelente,Qualidade do atendimento,Promotor
5289,2605685,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez.,Qualidade do atendimento,Promotor
5290,2605776,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. atendente muito boa e gentil.,Qualidade do atendimento,Promotor
5291,2606641,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Atendido muito bem e rápido.,Qualidade do atendimento,Promotor
5293,2607382,PSA,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Qualidade do atendimento em geral,O cliente Richarles achou atendimento excelente.,Qualidade do atendimento,Promotor
5295,2608663,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,O cliente Artur gostou da agilidade no processo.,Qualidade do atendimento,Promotor
5296,2608936,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,9,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
5297,2703334,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento – telefonia e agendamento,"Rapidez, celeridade e compromisso",Liberação,Promotor
5298,2609854,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Foi bem atendida, não teve nenhum problema até o momento",Qualidade do atendimento,Promotor
5299,2609877,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Tudo conforme combinado,Qualidade do atendimento,Promotor
5300,2700400,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com JOSE, informou que quando precisou o atendimento surpreendeu pela agilidade e rapidez. ",Qualidade do atendimento,Promotor
5301,2700395,Seguros Sura,Tetos Solares,Carglass,10,Qualidade do atendimento em geral,"Em contato com JOSE, informou que quando precisou o atendimento surpreendeu pela agilidade e rapidez. ",Qualidade do atendimento,Promotor
5302,2700120,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com ROBERTO , informou que foi bem atendido .",Qualidade do atendimento,Promotor
5303,2612868,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
5305,2613121,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,O cliente Tiago informa que o atendimento foi muito bom.,Qualidade do atendimento,Promotor
5307,2613871,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"O cliente Marcio foi muito bem atendido, a troca foi bem feita, foi rápido, não teve burocracia.",Qualidade do atendimento,Promotor
5308,2613955,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,9,Rapidez e facilidade para abertura do atendimento,Muito pratico ,Abertura do atendimento,Promotor
5309,2614129,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente José gostou do bom atendimento.,Qualidade do atendimento,Promotor
5310,2614466,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi bem atendida ,Qualidade do atendimento,Promotor
5312,2615343,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O responsável Victor informa que deu tudo certo.,Qualidade do atendimento,Promotor
5313,2615354,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
5314,2615534,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"A cliente Hosana teve um atendimento bom, rápido e prestado.",Qualidade do atendimento,Promotor
5316,2615863,Bradesco Seguros,Lente de Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,A cliente Leidiana teve um bom atendimento.,Qualidade do atendimento,Promotor
5317,2615932,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo,Qualidade do atendimento,Promotor
5318,2696326,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Foi tudo ótimo ,Qualidade do atendimento,Promotor
5319,2616217,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com a cliente, informou que demorou muito a liberação, deu entrada na Quinta-Feira e só autorizaram Segunda-Feira. Fora isso foi bem atendida..",Qualidade do atendimento,Promotor
5320,2616219,Seguros Sura,Lanterna Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento em geral,O responsável Yago foi muito bem atendido.,Qualidade do atendimento,Promotor
5321,2695747,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento em geral,"Em contato com Alipio, ele informou que gostou do atendimento.",Qualidade do atendimento,Promotor
5322,2617278,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
5323,2617635,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que gostou da cordialidade, agilidade e rapidez . ",Qualidade do atendimento,Promotor
5325,2618451,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e agilidade. ,Qualidade do atendimento,Promotor
5326,2618570,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
5327,2618803,Azul Seguros,Funilaria Tampa traseira,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Sezefredo foi atendido no que queria.,Qualidade do atendimento,Promotor
5329,2618938,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"A equipe que prestou o serviço, foi muito eficiente e prestativa.",Qualidade do atendimento,Promotor
5332,2692837,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Asis Neto, informou que deu tudo certo. ",Qualidade do atendimento,Promotor
5334,2620166,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou que gostou da Rapidez no atendimento .",Qualidade do atendimento,Promotor
5337,2620747,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Silvio foi bem atendido e foi resolvido rápido.,Qualidade do atendimento,Promotor
5338,2620992,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi bem atendido,Qualidade do atendimento,Promotor
5340,2621488,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista Led,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez em resolver. ,Qualidade do atendimento,Promotor
5343,2622451,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Não teve problema,Qualidade do atendimento,Promotor
5344,2622613,Bradesco Seguros,Porta Dianteira Esquerda/Motorista,Carglass,10,Qualidade do atendimento em geral,Atendimento nota 10,Qualidade do atendimento,Promotor
5345,2689098,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com CARLOS, informou que o atendimento agradou, deu tudo certo. ",Qualidade do atendimento,Promotor
5348,2625459,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade e excelente atendimento.,Qualidade do atendimento,Promotor
5349,2625465,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que o atendimento foi excelente. ,Qualidade do atendimento,Promotor
5351,2687502,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Emanuely, informou que foram prestativos e rápidos. ",Qualidade do atendimento,Promotor
5352,2686579,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Muito bom ,Qualidade do atendimento,Promotor
5353,2686485,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento – telefonia e agendamento,Acho q ficou um pouco de cola no canto direito inferior lado interno.,Liberação,Promotor
5355,2686362,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e foi tudo certo. ,Qualidade do atendimento,Promotor
5356,2627752,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"O cliente Mateus não teve problemas, mas quando abriu a ocorrência, foi dito pela atendente que precisaria fazer a vistoria, então achou que poderia esperar mais um pouco, mas foi surpreendido com a informação da chegada do vidro na loja, não chegou nem a enviar fotos.",Qualidade do atendimento,Promotor
5357,2685854,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que foi tudo tranquilo o seu atendimento.,Qualidade do atendimento,Promotor
5360,2628166,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que no geral foi muito bom ,Qualidade do atendimento,Promotor
5361,2628190,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que nao teve nenhum problema ,Qualidade do atendimento,Promotor
5362,2628230,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"O cliente Luciano foi bem atendido, todas as mensagens foram respondidas.",Qualidade do atendimento,Promotor
5363,2685245,Bradesco Seguros,Farol Direito/Passageiro Led,Carglass,10,Qualidade do atendimento em geral,"bom
",Qualidade do atendimento,Promotor
5364,2629879,Bradesco Seguros,Parabrisa,Carglass,9,Rapidez e facilidade para abertura do atendimento,Aconteceu tudo dentro do normal,Abertura do atendimento,Promotor
5366,2683903,Bradesco Seguros,Farol Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Boa assistência ,Qualidade do atendimento,Promotor
5367,2683900,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Bom,Liberação,Promotor
5369,2630822,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,10,Estrutura confortável da sala de espera na loja,cliente informa que gostou muito da loja direcionado.,Rede de prestadores,Promotor
5371,2683242,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"EM contato com Aline, informou que gostou do atendimento, agilidade, foi muito rápido o contato e instruções. ",Qualidade do atendimento,Promotor
5372,2683086,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente informa que foi resolvido rapido.  ,Qualidade do atendimento,Promotor
5373,2632056,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Laurentino foi muito bem atendido.,Qualidade do atendimento,Promotor
5374,2681742,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Sem queixas quanto ao atendimento e a prestação dos serviços.,Liberação,Promotor
5375,2633017,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que foi bem atendido.,Qualidade do atendimento,Promotor
5376,2633018,Porto Seguro,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Qualidade do atendimento em geral,Tive um ótimo atendimento desde o início da solicitação ,Qualidade do atendimento,Promotor
5377,2681355,ALD Automotive,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Túlio, ele ressaltou a  agilidade no processo de abertura e facilidade na comunicação.",Qualidade do atendimento,Promotor
5378,2633222,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"O cliente Mateus informa que tudo se resolveu muito fácil, teve a demora da peça, mas entende que é porque é uma peça difícil de conseguir.",Qualidade do atendimento,Promotor
5379,2634131,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente informa que foi tudo tranquilo, e ressalta bom atendimento. ",Qualidade do atendimento,Promotor
5380,2680364,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Wilka , informou que foi bem atendida . ",Qualidade do atendimento,Promotor
5383,2635032,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento e gostou muito.,Qualidade do atendimento,Promotor
5386,2636514,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e atendimento sem burocracia. ,Qualidade do atendimento,Promotor
5387,2677752,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Oficina excelente.,Qualidade do atendimento,Promotor
5388,2636740,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente informa que o atendimento da Bradesco tanto no app como por telefone foi muito complicado e difícil, ja na parte da Carglass foi super rápido, tranquilo e excelente. ",Qualidade do atendimento,Promotor
5389,2677698,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"Satisfeita, embora houve o agendamento e lá chegando não havia o produto para realizar o serviço. Após contato com a seguradora a empresa solicitou o retorno à loja e realizou o serviço.",Qualidade do atendimento,Promotor
5390,2636943,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta que o atendimento foi ótimo, muito bem atendido. ",Qualidade do atendimento,Promotor
5392,2676862,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Severino, informou que foi rápido atendimento. Só achou muito alto o valor da franquia. ",Qualidade do atendimento,Promotor
5394,2676402,Bradesco Seguros,Vigia,Carglass,10,Rapidez no atendimento e serviço prestado,...,Qualidade do atendimento,Promotor
5395,2638422,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,10,Qualidade do atendimento em geral,Não ,Qualidade do atendimento,Promotor
5398,2638896,ALD Automotive,Vidro Lateral Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,O cliente Ítalo foi bem atendido e foi bem rápido depois de sair do atendimento da ALKD e passar para a Carglass.,Qualidade do atendimento,Promotor
5400,2639869,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade. ,Qualidade do atendimento,Promotor
5401,2640195,Bradesco Seguros,Farol Direito/Passageiro Led,Carglass,9,Qualidade do atendimento em geral,"Em contato com o cliente Sergio, informou que demorou a resposta. ",Qualidade do atendimento,Promotor
5402,2640314,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento e agilidade.,Qualidade do atendimento,Promotor
5403,2640358,PSA,Under Car,Carglass,9,Qualidade do atendimento em geral,"Ao chegar na concessionária, houve uma burocracia pra dá início ao serviço.",Qualidade do atendimento,Promotor
5404,2640501,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento.,Qualidade do atendimento,Promotor
5405,2640712,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa foi atendido quando precisou. ,Qualidade do atendimento,Promotor
5406,2640755,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com esposa da segurada (Davi), informou que pronto atendimento e rápido .",Qualidade do atendimento,Promotor
5407,2641656,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom acompanhamento.,Qualidade do atendimento,Promotor
5408,2641990,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo ,Qualidade do atendimento,Promotor
5409,2671863,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que gostou de todo o processo de abertura. ,Qualidade do atendimento,Promotor
5410,2671768,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,A cliente Luísa foi bem atendida.,Qualidade do atendimento,Promotor
5412,2671465,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta agilidade e competência. ,Qualidade do atendimento,Promotor
5414,2643731,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou que foram rápidos, agendaram rápido.",Qualidade do atendimento,Promotor
5416,2669344,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,9,Qualidade do atendimento em geral,"Só houve um imprevisto no reposição do retrovisor, pois mesmo eu detalhando, veio errado a primeira vez.",Qualidade do atendimento,Promotor
5417,2669262,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento e rapidez. Tudo dentro dos conformes. ,Qualidade do atendimento,Promotor
5419,2668044,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta bom atendimento, praticidade e o problema foi resolvido. ",Qualidade do atendimento,Promotor
5422,2667632,PSA,Funilaria Para-Choque Dianteiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"cliente informa que o atendimento foi tranquilo, porem teve dificuldade no link de vistoria, que as fotos nao carregavam e precisou tirar 4 ou cino vezes para conseguir o envio.  ",Qualidade do atendimento,Promotor
5426,2648224,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que foi bem atendido, deram assistência e  atenção .",Qualidade do atendimento,Promotor
5427,2648553,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Kaio gostou muito do atendimento no geral.,Qualidade do atendimento,Promotor
5428,2664790,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"cliente informa que foi muito bom.

",Qualidade do atendimento,Promotor
5429,2649169,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente, informou que deu tudo certo.",Qualidade do atendimento,Promotor
5430,2664616,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta a agilidade, o bom atendimento, se pudesse daria nota 100, pois ficou muito feliz e satisfeito com o atendimento e a atenção que recebeu da central. ",Qualidade do atendimento,Promotor
5431,2664202,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Cliente ressalta que teve agilidade no seu atendimento.,Qualidade do atendimento,Promotor
5433,2663200,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Satisfatória,Qualidade do atendimento,Promotor
5436,2662362,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente informa que deu tudo certo, quem fez a abertura foi a corretora, mas a liberação foi rapida.",Qualidade do atendimento,Promotor
5438,2651871,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento – telefonia e agendamento,9 por não ter o parabrisa no dia agendado ,Liberação,Promotor
5439,2652186,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Muito rápido e atenciosos.,Qualidade do atendimento,Promotor
5440,2652357,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente ressalta bom atendimento ,Qualidade do atendimento,Promotor
5441,2661332,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que deu tudo certo. ,Qualidade do atendimento,Promotor
5442,2652817,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,Atendimento muito bom.,Qualidade do atendimento,Promotor
5444,2653214,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. ,Qualidade do atendimento,Promotor
5445,2660494,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Francisco, informou que gostou da  agilidade no processo.",Qualidade do atendimento,Promotor
5446,2654188,Arval,Reparo (1 Ponto),Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,O cliente Hugo achou o atendimento prático para agilizar e o serviço foi rápido.,Qualidade do atendimento,Promotor
5447,2659828,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi tudo bem com a abertura.,Qualidade do atendimento,Promotor
5448,2659481,Porto Seguro,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Atendimento excelente, serviço de qualidade e pontualidade. Recomendo. ",Qualidade do atendimento,Promotor
5449,2659397,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente informa que o atendimento foi eficaz e cordial. ,Qualidade do atendimento,Promotor
5450,2659374,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Rápido ,Qualidade do atendimento,Promotor
5451,2655146,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Flauber, informou que foi bem atendido por telefone. ",Qualidade do atendimento,Promotor
5452,2659243,Leaseplan,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,A cliente Lucas informa que foi tranquilo.,Qualidade do atendimento,Promotor
5453,2655198,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez e facilidade para abertura do atendimento,Muito bom ,Abertura do atendimento,Promotor
5457,2657803,Seguros Sura,Parabrisa,Carglass,9,Qualidade do atendimento em geral,O responsável Alexandre teve um bom atendimento.,Qualidade do atendimento,Promotor
5458,2657552,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que foi bem atendido.,Qualidade do atendimento,Promotor
5459,2657347,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que ficou bem feliz com o atendimento.,Qualidade do atendimento,Promotor
5460,2657174,Bradesco Seguros,Parabrisa,Carglass,9,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Flaviano, informou que foi rápido para liberar o serviço. ",Qualidade do atendimento,Promotor
5462,2727463,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,6,Falta de contato/ Falha No Acompanhamento com o cliente,Montaram o para-choque e deixaram o sensor de estacionamento deslugado,Liberação,Detrator
5463,2591703,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,6,Demora para agendamento,Liga e ninguém atende ,Liberação,Detrator
5465,2608347,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,4,Demora/Divergência de informações no momento do atendimento,"Cliente informou que esta insatisfeito pois teve uma confusão na abertura do protocolo, foi enviado o endereço errado da oficina, e teve problemas com o seguro, porém não quis relatar.",Liberação,Detrator
5466,2634539,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,6,Falta de contato/ Falha No Acompanhamento com o cliente,"Vocês tem que fiscalizar a qualidade das empresas que indicam, assim como se cumprem prazos prometidos ao cliente.",Liberação,Detrator
5467,2678228,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,0,Demora/Divergência de informações no momento do atendimento,Cliente ressalta que o serviço demorou demais para ser liberado e agendado e informou que foi informado um valor na hora do atendimento e na loja foi outro valor.,Liberação,Detrator
5468,2642020,Bradesco Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,4,Qualidade atendimento telefônico,"não gostei de onde fiz, pois não avaliaram na hora e tinha mais peças e demorou para sair e divergencias entre o bradsco e onde fiz o reparo",Qualidade do atendimento,Detrator
5469,2666696,Bradesco Seguros,Parabrisa,Carglass,5,Problemas/dificuldade com site para abertura do atendimento,cliente informa que o site é muito ruim e teve dificuldade na abertura do pedido. ,Abertura do atendimento,Detrator
5470,2648595,Seguros Sura,Reparo (1 Ponto),Carglass,0,Agenda não atende a necessidade do cliente,Já havia feito um serviço na carglass. E agora o modelo tipo padrão de oficina que que vocês estão fazendo serviços deixam muito a desejar. ,Liberação,Detrator
